id,petId,quantity,shipDate,status,complete,statusCode,scenario
10,198772,7,2022-01-01,approved,true,200,Successful responses: OK
11,198773,8,2022-01-02,pending,false,405,Client error responses: Method Not Allowed
12,198774,9,2022-01-03,sold,true,200,Successful responses: OK
13,198775,10,2022-01-04,approved,false,405,Client error responses: Method Not Allowed
14,198776,11,2022-01-05,pending,true,200,Successful responses: OK
15,198777,12,2022-01-06,sold,false,405,Client error responses: Method Not Allowed
16,198778,13,2022-01-07,approved,true,200,Successful responses: OK
17,198779,14,2022-01-08,pending,false,405,Client error responses: Method Not Allowed
18,198780,15,2022-01-09,sold,true,200,Successful responses: OK
19,198781,16,2022-01-10,approved,false,405,Client error responses: Method Not Allowed
